"TRACTCE","NAME","YEAR","area","sub_nn","central_nn","park_touch","park_in","crime15","ch_crime15","crime15_den","ch_crime15_den","crime20","ch_crime20","crime20_den","ch_crime20_den","star15","ch_star15","star15_den","ch_star15_den","star20","ch_star20","star20_den","ch_star20_den","bike15","ch_bike15","bike15_den","ch_bike15_den","bike20","ch_bike20","bike20_den","ch_bike20_den"
"808001","8080.01","all",544.30265629445,7705.8483482986,53180.4023950035,0,0,1,0,0.00183721315418132,0,1,0,0.00183721315418132,0,1,0,0.00183721315418132,0,1,0,0.00183721315418132,0,1,0,0.00183721315418132,0,1,0,0.00183721315418132,0
"808002","8080.02","all",680.758374111183,10797.0654346704,50328.6985058417,29.6646370125978,29.6646370126311,23,7,0.0337858495388021,0.0102826498596354,32,9,0.0470063993583334,0.0132205498195313,1,0,0.00146894997994792,0,1,0,0.00146894997994792,0,1,0,0.00146894997994792,0,1,0,0.00146894997994792,0
"808702","8087.02","all",426.299607338568,3211.06692671441,63408.8963408833,0,0,1,0,0.00234576805323163,0,1,0,0.00234576805323163,0,1,0,0.00234576805323163,0,1,0,0.00234576805323163,0,1,0,0.00234576805323163,0,2,1,0.00469153610646326,0.00234576805323163
"808600","8086","all",942.142940992991,11995.1331176674,76875.9941712185,0,0,1,0,0.00106141006474668,0,1,0,0.00106141006474668,0,1,0,0.00106141006474668,0,1,0,0.00106141006474668,0,1,0,0.00106141006474668,0,1,0,0.00106141006474668,0
"808302","8083.02","all",343.609243222536,4714.63632832567,65577.9827374195,0,0,1,0,0.00291028259490784,0,1,0,0.00291028259490784,0,1,0,0.00291028259490784,0,1,0,0.00291028259490784,0,1,0,0.00291028259490784,0,1,0,0.00291028259490784,0
"808301","8083.01","all",945.730856102473,9254.0752672986,68851.4730408892,0,0,1,0,0.00105738328568572,0,1,0,0.00105738328568572,0,1,0,0.00105738328568572,0,1,0,0.00105738328568572,0,1,0,0.00105738328568572,0,1,0,0.00105738328568572,0
"770202","7702.02","all",2923.17268483978,35541.0050139191,117267.042917917,0,0,1,0,0.00034209405595031,0,1,0,0.00034209405595031,0,1,0,0.00034209405595031,0,1,0,0.00034209405595031,0,1,0,0.00034209405595031,0,1,0,0.00034209405595031,0
"770602","7706.02","all",1369.66537097405,12235.1143588384,88196.4755455871,0,0,3,1,0.00219031601701847,0.000730105339006157,1,-2,0.000730105339006157,-0.00146021067801231,1,0,0.000730105339006157,0,1,0,0.000730105339006157,0,1,0,0.000730105339006157,0,1,0,0.000730105339006157,0
"806104","8061.04","all",1166.49228604127,28334.8321037295,93248.6548821981,0,0,1,0,0.000857270992673006,0,1,0,0.000857270992673006,0,1,0,0.000857270992673006,0,1,0,0.000857270992673006,0,1,0,0.000857270992673006,0,1,0,0.000857270992673006,0
"802505","8025.05","all",1754.0837206237,51825.9075961087,115309.065628776,0,0,1,0,0.000570098216089954,0,1,0,0.000570098216089954,0,1,0,0.000570098216089954,0,1,0,0.000570098216089954,0,1,0,0.000570098216089954,0,1,0,0.000570098216089954,0
"802404","8024.04","all",629.141211775749,62590.7820838525,128527.428458933,0,0,1,0,0.00158946828038415,0,1,0,0.00158946828038415,0,1,0,0.00158946828038415,0,1,0,0.00158946828038415,0,1,0,0.00158946828038415,0,1,0,0.00158946828038415,0
"803017","8030.17","all",733.735164747089,57440.6440520861,131810.635101688,0,0,1,0,0.00136288956567141,0,1,0,0.00136288956567141,0,1,0,0.00136288956567141,0,1,0,0.00136288956567141,0,1,0,0.00136288956567141,0,1,0,0.00136288956567141,0
"804714","8047.14","all",574.371771797779,60767.798495877,142360.67036247,0,0,1,0,0.00174103263617919,0,1,0,0.00174103263617919,0,1,0,0.00174103263617919,0,1,0,0.00174103263617919,0,1,0,0.00174103263617919,0,1,0,0.00174103263617919,0
"804403","8044.03","all",1072.53771724928,96348.5937510696,177609.310176768,0,0,1,0,0.000932368143252511,0,1,0,0.000932368143252511,0,1,0,0.000932368143252511,0,1,0,0.000932368143252511,0,1,0,0.000932368143252511,0,1,0,0.000932368143252511,0
